category,sample_count,visual_weight_mean,visual_weight_std,pixel_weight_mean,pixel_weight_std,visual_count,text_count,weighted_count
candle,200,0.83771325,0.14489888,0.23790591,0.26311505,167,0,33
capsules,160,0.81586711,0.15999491,0.46279709,0.30113443,126,0,34
cashew,150,0.86939775,0.11806735,0.19239392,0.22260743,134,0,16
chewinggum,150,0.90829793,0.04506915,0.16658288,0.21933647,150,0,0
fryum,150,0.94556101,0.02578908,0.27264901,0.35187393,150,0,0
macaroni1,200,0.94595616,0.02330750,0.35093934,0.19395721,200,0,0
macaroni2,200,0.94674165,0.02207206,0.45593308,0.10753381,200,0,0
pcb1,200,0.94994355,0.00079617,0.35923371,0.37098948,200,0,0
pcb2,200,0.77244424,0.17017204,0.25267008,0.23709564,137,0,63
pcb3,201,0.94993383,0.00093558,0.30385086,0.32634803,201,0,0
pcb4,201,0.78154771,0.16341207,0.27093708,0.27129260,140,0,61
pipe_fryum,150,0.80231307,0.12693113,0.24482211,0.23709417,127,0,23
