candidate,seed,shot,category,samples,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro,mean_visual_weight,mean_visual_pixel_weight,text_route_fraction
visual_only,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.018832042421808175,0.9427144928426239,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_black,79,0.42819148936170215,0.545265614816065,0.9296364054838684,0.01883204242180818,0.9498100137846244,1.0,0.9997235536575317,0.0
visual_only,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.046255054501843244,0.0,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_brown,77,0.44645550527903466,0.6391496255303947,0.9301991245806043,0.04625505450184325,0.0,1.0,0.9997470378875732,0.0
visual_only,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8586823577979381,1.0,1.0,0.0
pixel_only_w15,0,1,bracket_white,60,0.6144444444444445,0.5282193923941643,0.9890712682390035,0.08460092191951801,0.8604146862590294,1.0,0.9882526993751526,0.0
visual_only,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
pixel_only_w15,0,1,connector,44,0.5642857142857143,0.379645720655859,0.9470865696147572,0.09652634056918385,0.0,1.0,1.0,0.0
visual_only,0,1,metal_plate,97,0.9978331527627302,0.9992488262910798,0.9692975201506434,0.8423125006537273,0.9004331257984544,1.0,1.0,0.0
pixel_only_w15,0,1,metal_plate,97,0.9978331527627302,0.9992488262910798,0.9692975201506434,0.8423125006537273,0.9004331257984544,1.0,1.0,0.0
visual_only,0,1,tubes,101,0.9098731884057972,0.9586008716101243,0.9744479363345157,0.5683018940230884,0.8968910075731892,1.0,1.0,0.0
pixel_only_w15,0,1,tubes,101,0.9098731884057972,0.9586008716101243,0.9744479363345157,0.5683018940230884,0.8968910075731892,1.0,1.0,0.0
visual_only,0,2,bracket_black,79,0.4348404255319149,0.5697768789231128,0.9314756768314831,0.03925253114936032,0.889927778965536,1.0,1.0,0.0
pixel_only_w15,0,2,bracket_black,79,0.4348404255319149,0.5697768789231128,0.9314756768314831,0.03925253114936032,0.8902119054958091,1.0,0.9993398785591125,0.0
visual_only,0,2,bracket_brown,77,0.49698340874811464,0.688985295541656,0.9264205135273007,0.043859852438342666,0.8023043189428634,1.0,1.0,0.0
pixel_only_w15,0,2,bracket_brown,77,0.49698340874811464,0.688985295541656,0.9264205135273007,0.04385985243834267,0.72663949129638,1.0,0.997420072555542,0.0
visual_only,0,2,bracket_white,60,0.7188888888888889,0.6221362603520907,0.9933704294990202,0.15110329937763117,0.9277225183183637,1.0,1.0,0.0
pixel_only_w15,0,2,bracket_white,60,0.7188888888888889,0.6221362603520907,0.9933704294990202,0.15110329937763117,0.9297805941204678,1.0,0.9912985563278198,0.0
visual_only,0,2,connector,44,0.7833333333333333,0.5496382464006424,0.965086733362671,0.16502135632391876,0.863553306140404,1.0,1.0,0.0
pixel_only_w15,0,2,connector,44,0.7833333333333333,0.5496382464006424,0.965086733362671,0.16502135632391876,0.863553306140404,1.0,0.997443437576294,0.0
visual_only,0,2,metal_plate,97,0.9994582881906826,0.9998043818466353,0.9659608231224153,0.8401853447059873,0.9151194161695588,1.0,1.0,0.0
pixel_only_w15,0,2,metal_plate,97,0.9994582881906826,0.9998043818466353,0.9659684460580606,0.8401864888497876,0.9151194161695588,1.0,0.9896999597549438,0.0
visual_only,0,2,tubes,101,0.9298007246376812,0.9658865452226202,0.9764871532972129,0.5633850368172333,0.8975310556712283,1.0,1.0,0.0
pixel_only_w15,0,2,tubes,101,0.9298007246376812,0.9658865452226202,0.9764871532972129,0.5633850368172333,0.8975310556712283,1.0,1.0,0.0
visual_only,0,4,bracket_black,79,0.5844414893617021,0.7098206677221834,0.9657590491779957,0.106319849436186,0.9035169425729722,1.0,1.0,0.0
pixel_only_w15,0,4,bracket_black,79,0.5844414893617021,0.7098206677221834,0.9657590491779957,0.106319849436186,0.8887743948355042,1.0,0.99957275390625,0.0
visual_only,0,4,bracket_brown,77,0.5256410256410255,0.7003111713642837,0.9345096765117528,0.04672807476512063,0.8250502719337982,1.0,1.0,0.0
pixel_only_w15,0,4,bracket_brown,77,0.5256410256410255,0.7003111713642837,0.9345096765117528,0.046728074765120614,0.8268100572115973,1.0,0.9985979795455933,0.0
visual_only,0,4,bracket_white,60,0.7122222222222223,0.6175486062739556,0.9944026556231891,0.08137411913355017,0.9042451997220531,1.0,1.0,0.0
pixel_only_w15,0,4,bracket_white,60,0.7122222222222223,0.6175486062739556,0.9944026556231891,0.08137411913355017,0.9249952570813693,1.0,0.9895734786987305,0.0
visual_only,0,4,connector,44,0.8404761904761904,0.6707477940671217,0.9694395155861583,0.20312442685895535,0.875199554025492,1.0,1.0,0.0
pixel_only_w15,0,4,connector,44,0.8404761904761904,0.6707477940671217,0.9694395155861583,0.20312442685895535,0.875199554025492,1.0,0.9900106191635132,0.0
visual_only,0,4,metal_plate,97,1.0,1.0,0.9743994443218122,0.8746312656673793,0.9367977145129511,1.0,1.0,0.0
pixel_only_w15,0,4,metal_plate,97,1.0,1.0,0.9744673312995057,0.8746480958114579,0.9367977145129511,1.0,0.9776086211204529,0.0
visual_only,0,4,tubes,101,0.9352355072463768,0.9745601032017173,0.9776733671057828,0.6039571672248637,0.8977845238263651,1.0,1.0,0.0
pixel_only_w15,0,4,tubes,101,0.9352355072463768,0.9745601032017173,0.9776733671057828,0.6039571672248637,0.8977845238263651,1.0,1.0,0.0
visual_only,1,1,bracket_black,79,0.5146276595744681,0.6634470047127977,0.9158303664363314,0.08764979889073103,0.8663027763588611,1.0,1.0,0.0
pixel_only_w15,1,1,bracket_black,79,0.5146276595744681,0.6634470047127977,0.9158303664363314,0.08764979889073105,0.8661809631393074,1.0,0.9999305605888367,0.0
visual_only,1,1,bracket_brown,77,0.4766214177978884,0.6555113160408558,0.935021265178454,0.05553094849414334,0.0,1.0,1.0,0.0
pixel_only_w15,1,1,bracket_brown,77,0.4766214177978884,0.6555113160408558,0.935021265178454,0.055530948494143355,0.0,1.0,0.9996652007102966,0.0
visual_only,1,1,bracket_white,60,0.6277777777777778,0.5604986210199587,0.9821776394225957,0.06558090940719281,1.0,1.0,1.0,0.0
pixel_only_w15,1,1,bracket_white,60,0.6277777777777778,0.5604986210199587,0.9821776394225957,0.06558090940719281,0.7613108696180683,1.0,0.9991480112075806,0.0
visual_only,1,1,connector,44,0.8357142857142857,0.7323077037832676,0.9732144125192145,0.21890466293792607,0.8723393469679862,1.0,1.0,0.0
pixel_only_w15,1,1,connector,44,0.8357142857142857,0.7323077037832676,0.9732144125192145,0.2189046629379261,0.8776251218327654,1.0,0.9943403601646423,0.0
visual_only,1,1,metal_plate,97,1.0,1.0,0.9654011659905206,0.8600824363144242,0.8812926468666666,1.0,1.0,0.0
pixel_only_w15,1,1,metal_plate,97,1.0,1.0,0.9654013889342132,0.8600824625578428,0.8812926468666666,1.0,0.9945088028907776,0.0
visual_only,1,1,tubes,101,0.9646739130434783,0.9839625631667146,0.9703272699233548,0.5156184127970452,0.8708940645857148,1.0,1.0,0.0
pixel_only_w15,1,1,tubes,101,0.9646739130434783,0.9839625631667146,0.9703272699233548,0.5156184127970452,0.8708940645857148,1.0,1.0,0.0
visual_only,1,2,bracket_black,79,0.41688829787234044,0.5950844475936632,0.9260900083900027,0.06087598974319488,0.7997745897806483,1.0,1.0,0.0
pixel_only_w15,1,2,bracket_black,79,0.41688829787234044,0.5950844475936632,0.9260900083900027,0.06087598974319487,0.8223259215891613,1.0,0.9999986886978149,0.0
visual_only,1,2,bracket_brown,77,0.47888386123680243,0.6734056489253537,0.9197210266516638,0.040569116788415266,0.8002959253268491,1.0,1.0,0.0
pixel_only_w15,1,2,bracket_brown,77,0.47888386123680243,0.6734056489253537,0.9197210266516638,0.04056911678841527,0.8014454732644393,1.0,0.999305784702301,0.0
visual_only,1,2,bracket_white,60,0.6744444444444444,0.6693498106151253,0.9910506865265102,0.03671463098400324,0.0,1.0,1.0,0.0
pixel_only_w15,1,2,bracket_white,60,0.6744444444444444,0.6693498106151253,0.9910506865265102,0.03671463098400324,0.5,1.0,0.9996289610862732,0.0
visual_only,1,2,connector,44,0.8928571428571428,0.7988237323915072,0.9786682499179171,0.27130664631347173,0.9129926269381792,1.0,1.0,0.0
pixel_only_w15,1,2,connector,44,0.8928571428571428,0.7988237323915072,0.9786682499179171,0.27130664631347173,0.9137351792296684,1.0,0.9931740164756775,0.0
visual_only,1,2,metal_plate,97,1.0,1.0,0.9699716065677179,0.8582702245425691,0.933443074391296,1.0,1.0,0.0
pixel_only_w15,1,2,metal_plate,97,1.0,1.0,0.9701471644645726,0.858317010782308,0.9334517869628567,1.0,0.9845365881919861,0.0
visual_only,1,2,tubes,101,0.9402173913043478,0.9739636725997928,0.971733031269176,0.562631525962958,0.8699466945394014,1.0,1.0,0.0
pixel_only_w15,1,2,tubes,101,0.9402173913043478,0.9739636725997928,0.971733031269176,0.562631525962958,0.8699466945394014,1.0,1.0,0.0
visual_only,1,4,bracket_black,79,0.3829787234042553,0.5743792293019812,0.9352921298020646,0.07101803915332057,0.8486077150427136,1.0,1.0,0.0
