candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,oracle_pixel_ap_gain,routing_efficiency_ap,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,image_rescue_enabled,test_labels_used_by_router
region_permissive,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0.32067709252424736,-1.1031885348121989e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_balanced,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0.32067709252424736,-1.1031885348121989e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_strict,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0.32067709252424736,-1.1031885348121989e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_wide_visual,0,1,bracket_black,79,8,0.9324282911875085,0.024394520289369392,0.8060653018774582,0.9324282996755464,0.024394516751696474,0.8060653018774582,8.488037939180515e-09,-3.537672918496604e-09,0.0,0.32067709252424736,-1.1031885348121989e-08,0,0,0.0,0.0,0.0,0.0,0.0009606690777576853,0.0,False,False
region_permissive,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0.29096028284274866,-3.060009248434554e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_balanced,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0.29096028284274866,-3.060009248434554e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_strict,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0.29096028284274866,-3.060009248434554e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_wide_visual,0,1,bracket_brown,77,8,0.9308236922739413,0.04568812907492223,0.7205988955344165,0.9308236884608684,0.045688040040806586,0.7205988955344165,-3.813072968483766e-09,-8.903411564259445e-08,0.0,0.29096028284274866,-3.060009248434554e-07,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_permissive,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.966919326955204,0.9912126681180973,0.09433514780956422,0.9669199190666261,0.0,-1.3877787807814457e-17,5.921114221152379e-07,0.06012569101090906,-2.308129449239345e-16,23,0,0.00012223639455782314,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
region_balanced,0,1,bracket_white,60,8,0.9912126681180973,0.09433514780956423,0.966919326955204,0.9912126681180973,0.09433514780956422,0.966919326955204,0.0,-1.3877787807814457e-17,0.0,0.06012569101090906,-2.308129449239345e-16,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,False,False
